Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
199264,25,0.00,-0.66,0.26
260888,25,1.20,-2.20,0.10
321980,25,1.79,-3.20,0.04
383024,25,1.79,-3.20,0.20
444052,25,1.79,-3.20,0.02
505100,25,1.79,-3.20,0.29
566136,25,1.79,-3.20,0.03
627172,25,1.79,-3.20,0.11
688216,25,1.79,-3.20,0.14
749252,25,1.79,-3.20,0.05
810292,25,1.79,-3.20,0.12
871308,25,1.79,-3.20,0.23
932352,25,1.79,-3.20,0.21
993388,25,1.79,-3.20,0.35
1054428,25,1.79,-3.20,0.30
1115500,25,1.79,-3.20,0.37
1176544,25,1.79,-3.20,0.44
1237588,25,1.79,-3.20,0.40
1298644,25,1.79,-3.20,0.47
1359672,25,1.79,-3.20,0.45
1420712,25,1.79,-3.20,0.56
1481748,25,1.79,-3.20,0.63
1542776,25,1.79,-3.20,0.57
1603824,25,1.79,-3.20,0.74
1664860,25,1.79,-3.20,0.67
1725904,25,1.79,-3.20,0.83
1786940,25,1.79,-3.20,0.74
1847972,25,1.79,-3.20,1.06
1909012,25,1.79,-3.20,0.92
1970044,25,1.79,-3.20,0.97
2031096,25,1.79,-3.20,1.14
2092128,25,1.79,-3.20,1.00
2153148,25,1.79,-3.20,1.03
2214192,25,1.79,-3.20,1.14
2275228,25,1.79,-3.20,1.39
2336280,25,1.79,-3.20,1.27
2397320,25,1.79,-3.20,1.30
2458344,25,1.79,-3.20,1.57
2519400,25,1.79,-3.20,1.53
2580432,25,1.79,-3.20,1.53
2641472,25,1.79,-3.20,1.72
2702524,25,1.79,-3.20,1.60
2763560,25,1.79,-3.20,1.76
2824600,25,1.79,-3.20,1.78
2885648,25,1.79,-3.20,1.89
2946672,25,1.79,-3.20,1.81
3007720,25,1.79,-3.20,1.91
3068752,25,1.79,-3.20,1.93
3129796,25,1.79,-3.20,1.96
3190840,25,1.79,-3.20,1.90
3251876,25,1.79,-3.20,1.94
3312916,25,1.79,-3.20,1.99
3373948,25,1.79,-3.20,2.08
3434996,25,1.79,-3.20,2.16
3496028,25,1.79,-3.20,2.18
3557060,25,1.79,-3.20,2.32
3618092,25,1.79,-3.20,2.32
3679112,25,1.79,-3.20,2.29
3740140,25,1.79,-3.20,2.39
3801172,25,1.79,-3.20,2.46
3862192,25,1.79,-3.20,2.39
3923228,25,1.79,-3.20,2.31
3984252,25,1.79,-3.20,2.51
4045296,25,1.79,-3.20,2.54
4106332,25,1.79,-3.20,2.47
4167364,25,1.79,-3.20,2.50
4228416,25,2.33,-3.20,2.53
4289448,25,2.33,-3.20,2.74
4350500,25,2.33,-3.20,2.64
4411540,25,2.33,-3.20,2.74
4472572,25,2.33,-3.20,2.87
4533628,25,2.33,-3.20,2.74
4594656,25,2.33,-3.20,2.96
4655708,25,2.33,-3.20,2.86
4716748,25,2.33,-3.20,2.98
4777780,25,2.33,-3.20,2.99
4838808,25,2.33,-3.20,2.95
4899832,25,2.33,-3.20,2.97
4960864,25,2.33,-3.20,3.10
5021900,25,2.33,-3.20,2.96
5082920,25,2.33,-3.20,3.16
5143944,25,2.33,-3.20,2.96
5204972,25,2.33,-3.20,3.23
5266000,25,2.33,-3.20,3.26
5327020,25,2.33,-3.20,3.24
5388028,25,2.33,-3.20,3.08
5449052,25,2.33,-3.20,3.23
5510064,25,2.33,-3.20,3.35
5571084,25,2.33,-3.20,3.47
5632100,25,2.33,-3.20,3.43
5693104,25,2.33,-3.20,3.33
5754132,25,2.33,-3.20,3.49
5815144,25,2.33,-3.20,3.46
5876168,25,2.33,-3.20,3.51
5937188,25,2.33,-3.20,3.51
5998216,25,2.33,-3.20,3.66
6059256,25,2.33,-3.20,3.72
6120272,25,2.33,-3.20,3.73
6181312,25,2.33,-3.20,3.73
6242356,25,2.33,-3.20,3.73
6303392,25,2.33,-3.20,3.77
6364440,25,2.33,-3.20,3.82
6425468,25,2.33,-3.20,3.73
6486520,25,2.33,-3.20,3.89
6547564,25,2.33,-3.20,3.83
6608596,25,2.33,-3.20,4.00
6669640,25,2.33,-3.20,3.95
6730688,25,2.33,-3.20,3.79
6791736,25,2.33,-3.20,4.07
6852772,25,2.33,-3.20,4.08
6913808,25,2.33,-2.66,4.03
6974852,25,2.33,-2.66,4.01
7035888,25,2.33,-2.66,4.17
7096940,25,2.33,-2.66,4.07
7157988,25,2.33,-2.66,4.23
7219024,25,2.33,-2.66,4.23
7280080,25,2.33,-2.66,4.18
