Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
199332,25,-0.63,-0.92,0.09
261032,25,-2.10,-3.09,0.10
322132,25,-3.09,-4.62,-0.08
383220,25,-3.09,-4.62,0.10
444280,25,-3.09,-4.62,0.08
505360,25,-3.09,-4.62,0.06
566428,25,-3.09,-4.62,0.01
627492,25,-3.09,-4.62,0.21
688560,25,-3.09,-4.62,-0.07
749636,25,-3.09,-4.62,0.13
810692,25,-3.09,-4.62,-0.06
871784,25,-3.09,-4.62,-0.13
932856,25,-3.09,-4.62,-0.03
993928,25,-3.09,-4.62,0.01
1054984,25,-2.55,-4.62,0.06
1116060,25,-2.55,-4.62,0.12
1177128,25,-2.55,-4.62,0.08
1238184,25,-2.55,-4.62,0.17
1299240,25,-2.55,-4.62,0.00
1360296,25,-2.55,-4.62,-0.03
1421372,25,-2.55,-4.62,-0.04
1482424,25,-2.55,-4.62,-0.13
1543484,25,-2.55,-4.62,-0.21
1604548,25,-2.55,-4.62,0.04
1665616,25,-2.55,-4.62,0.10
1726688,25,-1.98,-4.62,0.09
1787740,25,-1.98,-4.62,0.03
1848804,25,-1.98,-4.62,-0.03
1909872,25,-1.98,-4.62,0.03
1970916,25,-1.98,-4.62,0.02
2031976,25,-1.98,-4.62,0.08
2093028,25,-1.98,-4.62,0.17
2154080,25,-1.98,-4.62,-0.11
2215160,25,-1.98,-4.62,-0.04
2276220,25,-1.98,-4.62,-0.05
2337292,25,-1.98,-4.62,0.10
2398344,25,-1.98,-4.62,0.13
2459392,25,-1.98,-4.62,0.07
2520464,25,-1.98,-4.62,0.13
2581524,25,-1.43,-4.62,0.01
2642568,25,-1.43,-4.62,0.15
2703640,25,-1.43,-4.62,0.14
2764692,25,-1.43,-4.62,0.04
2825756,25,-1.43,-4.62,-0.13
2886824,25,-1.43,-4.62,0.10
2947864,25,-1.43,-4.62,0.04
3008936,25,-1.43,-4.62,-0.00
3069996,25,-1.43,-4.62,0.17
3131052,25,-1.43,-4.62,0.10
3192116,25,-1.43,-4.62,0.04
3253172,25,-1.43,-4.62,-0.06
3314236,25,-1.43,-4.62,0.02
3375296,25,-0.89,-4.62,0.00
3436348,25,-0.89,-4.62,-0.19
3497424,25,-0.89,-4.62,0.00
3558480,25,-0.89,-4.62,0.16
3619536,25,-0.89,-4.62,0.07
3680600,25,-0.89,-4.62,0.02
3741652,25,-0.89,-4.62,-0.03
3802720,25,-0.89,-4.62,0.05
3863788,25,-0.89,-4.62,0.06
3924836,25,-0.89,-4.62,0.05
3985904,25,-0.89,-4.62,0.09
4046964,25,-0.89,-4.62,0.09
4108012,25,-0.19,-4.62,0.02
4169076,25,-0.19,-4.62,-0.01
4230140,25,-0.19,-4.62,0.07
4291184,25,-0.19,-4.62,0.00
4352260,25,-0.19,-4.62,-0.00
4413316,25,-0.19,-4.62,-0.03
4474396,25,-0.19,-4.62,0.07
4535444,25,-0.19,-4.62,0.03
4596504,25,-0.19,-4.62,0.01
4657568,25,-0.19,-4.62,-0.06
4718652,25,-0.19,-4.62,0.08
4779700,25,-0.19,-4.62,-0.05
4840788,25,-0.19,-4.62,0.03
4901844,25,-0.19,-4.62,-0.04
4962936,25,-0.19,-4.62,-0.05
5024016,25,-0.19,-4.62,-0.06
5085088,25,-0.19,-4.62,-0.06
5146176,25,-0.19,-4.62,0.03
5207256,25,0.37,-4.62,0.12
5268316,25,0.37,-4.62,0.09
5329412,25,0.37,-4.62,0.02
5390488,25,0.37,-4.62,0.21
5451560,25,0.37,-4.62,0.06
5512648,25,0.37,-4.62,0.18
5573736,25,0.37,-4.62,0.16
5634804,25,0.37,-4.62,0.06
5695876,25,0.37,-4.62,-0.03
5756944,25,0.37,-4.62,0.05
5817996,25,0.37,-4.62,0.11
5879068,25,0.87,-4.62,0.07
5940140,25,0.87,-4.62,-0.10
6001220,25,0.87,-4.62,0.13
6062300,25,0.87,-4.62,0.14
6123376,25,0.87,-4.62,0.04
6184460,25,0.87,-4.62,0.01
6245536,25,0.87,-4.62,0.03
6306608,25,0.87,-4.62,-0.04
6367696,25,0.87,-4.62,0.03
6428760,25,0.87,-4.62,-0.11
6489836,25,0.87,-4.62,-0.04
6550916,25,0.87,-4.62,0.12
6611984,25,0.87,-4.62,0.04
6673052,25,1.38,-4.62,-0.01
6734148,25,1.38,-4.62,0.10
6795188,25,1.38,-4.62,0.06
6856268,25,1.38,-4.62,0.05
6917352,25,1.38,-4.62,0.04
6978416,25,1.38,-4.62,-0.08
7039500,25,1.38,-4.62,0.03
7100548,25,1.38,-4.62,-0.06
7161616,25,1.38,-4.62,-0.05
7222684,25,1.38,-4.62,0.01
7283736,25,1.38,-4.62,-0.01
7344808,25,1.38,-4.62,-0.07
7405868,25,1.38,-4.62,0.04
7466920,25,1.38,-4.62,-0.02
7527988,25,1.90,-4.62,0.03
7589048,25,1.90,-4.62,0.05
7650104,25,1.90,-4.62,-0.01
7711172,25,1.90,-4.62,-0.02
7772244,25,1.90,-4.62,0.08
7833292,25,1.90,-4.62,-0.05
7894372,25,1.90,-4.62,0.07
7955416,25,1.90,-4.62,-0.00
8016488,25,1.90,-4.62,0.11
8077544,25,1.90,-4.62,-0.04
8138608,25,1.90,-4.62,-0.03
8199680,25,1.90,-4.62,-0.05
8260740,25,1.90,-4.62,-0.01
8321796,25,1.90,-4.62,0.13
8382856,25,1.90,-4.62,0.01
8443912,25,2.42,-4.62,0.04
8504980,25,2.42,-4.62,-0.06
8566060,25,2.42,-4.62,0.16
8627108,25,2.42,-4.62,0.05
8688168,25,2.42,-4.62,0.07
8749240,25,2.42,-4.62,0.08
8810300,25,2.42,-4.62,0.01
8871380,25,2.42,-4.62,0.05
8932432,25,2.42,-4.62,-0.03
8993500,25,2.42,-4.62,0.00
9054564,25,3.03,-4.62,0.07
9115624,25,3.03,-4.62,0.04
9176688,25,3.03,-4.62,-0.01
9237768,25,3.03,-4.62,-0.11
9298824,25,3.03,-4.62,0.05
9359884,25,3.03,-4.62,0.08
9420952,25,3.03,-4.62,0.12
9482012,25,3.03,-4.62,0.02
9543084,25,3.03,-4.62,0.12
9604152,25,3.03,-4.62,0.10
9665212,25,3.03,-4.11,0.10
9726288,25,3.03,-4.11,-0.02
9787364,25,3.03,-4.11,0.09
9848440,25,3.58,-4.11,0.06
9909528,25,3.58,-4.11,-0.03
9970600,25,3.58,-4.11,-0.02
10031672,25,3.58,-4.11,-0.07
10092780,25,3.58,-4.11,0.10
10153828,25,3.58,-4.11,-0.03
10214912,25,3.58,-4.11,0.19
10275976,25,3.58,-4.11,0.09
10337036,25,3.58,-4.11,-0.05
10398108,25,3.58,-4.11,0.06
10459164,25,3.58,-4.11,0.04
10520224,25,3.58,-4.11,0.04
10581292,25,3.58,-4.11,0.07
10642352,25,3.58,-4.11,0.11
10703424,25,3.58,-4.11,-0.19
10764508,25,3.58,-4.11,-0.09
10825568,25,3.58,-4.11,-0.02
10886636,25,3.58,-4.11,0.02
10947692,25,3.58,-4.11,0.15
11008748,25,4.11,-4.11,0.10
11069808,25,4.11,-4.11,0.05
11130868,25,4.11,-4.11,-0.13
11191944,25,4.11,-4.11,0.01
11253032,25,4.11,-4.11,-0.08
11314100,25,4.11,-4.11,-0.07
11375172,25,4.11,-4.11,-0.01
11436248,25,4.11,-4.11,-0.01
11497316,25,4.11,-4.11,0.08
11558392,25,4.11,-4.11,-0.04
11619476,25,4.11,-4.11,0.05
11680532,25,4.65,-4.11,-0.06
11741628,25,4.65,-4.11,0.01
11802688,25,4.65,-4.11,0.01
11863728,25,4.65,-4.11,-0.01
11924804,25,4.65,-4.11,0.03
11985840,25,4.65,-4.11,-0.09
12046924,25,4.65,-4.11,0.06
12107964,25,4.65,-4.11,-0.05
12169024,25,4.65,-4.11,0.11
12230080,25,4.65,-4.11,0.02
12291140,25,4.65,-4.11,0.05
12352200,25,4.65,-4.11,-0.15
12413280,25,5.15,-4.11,-0.15
12474332,25,5.15,-4.11,-0.00
12535404,25,5.15,-4.11,-0.03
12596492,25,5.15,-4.11,-0.11
12657560,25,5.15,-4.11,0.12
12718628,25,5.15,-4.11,0.08
12779696,25,5.15,-4.11,0.14
12840764,25,5.15,-4.11,0.32
12901852,25,5.15,-4.11,0.16
12962924,25,5.15,-4.11,0.29
13024000,25,5.15,-4.11,0.20
13085068,25,5.15,-4.11,0.44
13146144,25,5.15,-4.11,0.47
13207212,25,5.15,-4.11,0.52
13268292,25,5.15,-4.11,0.36
13329348,25,5.15,-4.11,0.65
13390424,25,5.15,-4.11,0.66
13451508,25,5.15,-4.11,0.60
13512576,25,5.15,-4.11,0.59
13573652,25,5.15,-4.11,0.58
13634720,25,5.15,-4.11,0.74
13695788,25,5.15,-4.11,0.81
13756860,25,5.15,-4.11,0.75
13817928,25,5.15,-4.11,0.78
13879000,25,5.15,-4.11,0.70
13940076,25,5.15,-4.11,0.86
14001132,25,5.15,-4.11,0.89
14062204,25,5.15,-4.11,0.89
14123280,25,5.15,-4.11,1.03
14184336,25,5.15,-4.11,1.17
14245412,25,5.67,-4.11,1.15
14306480,25,5.67,-4.11,1.21
14367544,25,5.67,-4.11,1.17
14428632,25,5.67,-4.11,1.21
14489700,25,5.67,-4.11,1.31
14550768,25,5.67,-4.11,1.26
14611840,25,5.67,-4.11,1.31
14672912,25,5.67,-4.11,1.46
14733976,25,5.67,-4.11,1.48
14795056,25,5.67,-4.11,1.53
14856124,25,5.67,-4.11,1.39
