Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
199288,25,-0.76,0.00,-0.10
260928,25,-2.58,-1.29,-0.01
322048,25,-3.90,-1.91,-0.09
383100,25,-3.90,-1.91,-0.03
444140,25,-3.90,-1.91,0.10
505200,25,-3.90,-1.91,0.04
566248,25,-3.90,-1.91,-0.01
627312,25,-3.90,-1.91,-0.02
688372,25,-3.90,-1.91,0.02
749412,25,-3.90,-1.91,-0.03
810480,25,-3.90,-1.91,-0.11
871520,25,-3.90,-1.91,0.02
932548,25,-3.35,-1.91,0.01
993600,25,-3.35,-1.91,-0.06
1054636,25,-3.35,-1.91,0.03
1115696,25,-3.35,-1.91,-0.06
1176748,25,-3.35,-1.91,-0.05
1237800,25,-3.35,-1.91,-0.15
1298856,25,-3.35,-1.91,-0.17
1359916,25,-3.35,-1.91,0.05
1420956,25,-3.35,-1.91,0.01
1482012,25,-3.35,-1.91,-0.10
1543068,25,-3.35,-1.91,0.05
1604124,25,-3.35,-1.91,0.05
1665160,25,-3.35,-1.91,-0.14
1726196,25,-3.35,-1.91,-0.09
1787236,25,-2.78,-1.91,0.01
1848272,25,-2.78,-1.91,0.20
1909300,25,-2.78,-1.91,-0.08
1970352,25,-2.78,-1.91,-0.07
2031400,25,-2.78,-1.91,0.06
2092456,25,-2.78,-1.91,-0.16
2153520,25,-2.78,-1.91,-0.07
2214564,25,-2.25,-1.91,-0.04
2275620,25,-2.25,-0.23,-0.05
2336668,25,-2.25,2.08,-0.01
2397728,25,-2.25,0.91,-0.11
2458760,25,-2.25,-1.61,0.06
2519808,25,-2.25,-2.30,-0.06
2580892,25,-2.25,-2.30,-0.08
2641940,25,-2.25,-2.30,-0.10
2702988,25,-2.25,-2.30,0.01
2764044,25,-2.25,-1.78,0.01
2825068,25,-1.67,-1.78,-0.02
2886132,25,-1.67,-1.78,0.07
2947180,25,-1.67,-1.78,-0.00
3008232,25,-1.67,-1.78,-0.03
3069288,25,-1.67,-1.78,-0.14
3130336,25,-1.67,-1.78,-0.07
3191388,25,-1.67,-1.78,-0.00
3252444,25,-1.67,-1.78,-0.09
3313496,25,-1.17,-1.78,-0.03
3374548,25,-1.17,-1.78,-0.02
3435604,25,-1.17,-1.78,-0.03
3496656,25,-1.17,-1.78,-0.03
3557720,25,-1.17,-1.78,0.03
3618752,25,-1.17,-1.78,0.06
3679804,25,-1.17,-1.78,-0.11
3740872,25,-1.17,-1.78,-0.06
3801924,25,-0.58,-1.78,0.04
3862976,25,-0.58,-1.78,0.01
3924032,25,-0.58,-1.78,-0.03
3985088,25,-0.58,-1.78,0.00
4046072,25,-0.58,-1.78,-0.05
4107192,25,-0.58,-1.78,-0.02
4168248,25,-0.58,-1.78,0.01
4229308,25,-0.58,-1.78,-0.05
4290360,25,-0.03,-1.78,-0.21
4351416,25,-0.03,-1.78,-0.04
4412472,25,-0.03,-1.78,0.03
4473516,25,-0.03,-1.78,-0.14
4534588,25,-0.03,-1.78,0.02
4595628,25,-0.03,-1.78,-0.06
4656704,25,-0.03,-1.78,-0.05
4717764,25,-0.03,-1.78,0.09
4778808,25,-0.03,-1.78,-0.09
4839868,25,-0.03,-1.78,-0.14
4900900,25,-0.03,-1.78,-0.01
4961940,25,0.51,-1.78,0.01
5022968,25,0.51,-1.78,0.06
5084008,25,0.51,-1.78,-0.12
5145068,25,0.51,-1.78,-0.12
5206104,25,0.51,-1.78,0.06
5267136,25,0.51,-1.78,-0.16
5328192,25,0.51,-1.78,0.02
5389220,25,0.51,-1.78,-0.01
5450260,25,1.02,-1.78,-0.11
5511308,25,1.02,-1.78,0.05
5572336,25,1.02,-1.78,0.03
5633380,25,1.02,-1.78,0.05
5694424,25,1.02,-1.78,0.03
5755472,25,1.02,-1.78,-0.02
5816548,25,1.02,-1.78,0.01
5877580,25,1.02,-1.78,0.11
5938636,25,1.02,-1.78,-0.02
5999700,25,1.02,-1.78,-0.07
6060740,25,1.54,-1.78,0.02
6121800,25,1.54,-1.78,-0.04
6182864,25,1.54,-1.78,0.05
6243904,25,1.54,-1.78,0.07
6304964,25,1.54,-1.78,-0.14
6366024,25,1.54,-1.78,0.04
